Name,Year,Rating,Runtime,Votes
Ek Bura Aadmi,,,,
Nazarband,2020,,85,
Boxed,2021,6.4,115,10
Dancing Dad,,,,
Bhawani Mandi Tesan,2018,6.4,,5
Evil Dead is Back,2021,,120,
Dimensions,2019,,63,
Hotel Milan,2018,3.8,130,78
Toolsidas Junior,2021,,,
Dehati Disco,2021,,,
Secret Attack,2020,8.6,,21
Vellapanti,,,,
Endcounter,2019,,138,
Woh 3 Din,2021,,,
Grihalakshmi - The Awakening,2019,8.7,70,20
I Know You,2020,3.5,98,20
Awasaan,2020,8.7,101,21
The Great Indian Casino,2019,,,
Vikas Ki Bahu,2018,,109,
Lohardaga,2019,7.8,120,8
Agam,,,88,
Code Blue,2019,6.9,,7
Chandro ka Devar,2019,,113,
Tara vs Bilal,2022,,,
Sanjeevani,2018,2.8,,23
The Last Ride,(V,,75,
Aliya Basu Gayab Hai,2020,,,
Zoo,2018,5.7,100,78
A Mistake (Ek Galti),2021,,,
Little Baby,2019,8.6,105,1417
Guthlee,2022,,,
Saroj Ka Rishta,2020,,122,
A Gift of Love: Sifar,2019,7.9,95,32
Nagin,2021,,,
Fateh singh,,,,
Untitled Vardhan Ketkar Film,2021,,,
Avantika,2020,,105,
Aparajitha Ayodhya,2021,,,
Blackboard vs Whiteboard,2019,5.4,152,43
Sragaal,2020,,140,
Lines,(I,,,
Kaaliyan,,,,
The Evening Show,2020,8.9,,60
Mango,(II,,,
Shehri Gabru,2020,8.5,62,92
Badnaam,2020,6.9,,7
Colour photo,2018,8.7,,21
Dare and Lovely,,,,
Gulfam,2020,,146,
Fazeeta,2019,,108,
Wanton,2020,4.5,90,124
Deep Inside,2021,,101,
Hanak,2021,,,
Love in a Taxi,2019,,,
La cinta de Alex,2019,5.9,109,37
Shaadi Teri Bajayenge Hum Band,2018,4.9,140,180
Desi Videsi,,,,
Das Capital Gulamon Ki Rajdhani,2020,7.1,,28
Chaalbaaz in London,2022,,,
Reason,2018,9.1,261,125
The Sholay Girl,2019,7.7,106,92
Black Market,2021,,131,
Wig Boss,2019,,,
The Outlander,,,120,
State vs. Malti Mhaske,2018,7.1,,67
My Angel My Teacher,2019,6.5,,8
Dear Molly,2018,7.8,91,10
Falsafa,2019,7.1,135,16
Zindagi Tumse,2019,6,120,13
Namumkin Tere Bin Jeena,2020,4.9,,13
Vinash Kaal,2020,5,,5
Dhoosarit - the Grey,2020,6.5,90,60
Maskhara,2021,,,
Ram Ki Janmabhoomi,2019,6.6,122,92
Lubdh,2021,,150,
I Am Roshni,2018,5.4,80,11
Sasi Lalitha,2020,,,
Fastey Fasaatey,2019,4.6,119,119
Gaon,2018,5.3,124,106
Udd Ja Re,2021,,83,
Welcome M1LL10NS,2018,6,117,11
Hamaari Bhabhi,2020,,77,
Kill the Rapist?,2018,,99,
Haseena,2018,4.4,135,92
Life of an Outcast,2018,6.6,81,36
The Right Click,2021,,,
Redrum,2018,3.9,101,28
Bombay Girl,2021,,,
Untitled Sejal Shah Project,2021,,,
T for Taj Mahal,2018,8.7,104,93
The Vanishing Act,,,120,
Junction Varanasi,2019,3.7,149,22
Devi Aur Hero,2019,7.8,117,15
Bikroo Kanpur Gangster,2021,,,
Mooso-the Mouse,,,89,
Kriya,2020,6.5,96,29
Waterschool,2018,6.3,67,60
Meri Nimmo,2018,7.1,90,283
The Purple Night,2021,,59,
Not Today,2021,,92,
Dosti Ke Side Effects,2019,3.3,130,46
Toofan Mail 8 Down,2021,,97,
The Brave Child,,,,
English ki taay taay fisss,2020,6.1,137,11
Sitara,2020,,,
Kadke Kamal Ke,2019,6.8,136,5
Shaitan Ka Bachcha,,,,
Main Hoon Khalnayak,2020,,,
Just Like That,2019,7.9,109,30
Risknamaa,2019,7,123,20
#Yaaram,2019,4.4,110,35
Chausar,2018,6.4,85,82
1978: A Teen Night Out,2019,4,107,20
Tallukh,2020,5.4,83,56
Kaunn Con haii?,,,,
Return Ticket,2021,,,
Delhi Bus,2018,,,
Ekram,2019,5.8,94,21
Justice For Good Content,2021,,,
KTina,,,,
Everything Is Cinema,2021,,70,
The Hundred Bucks,2020,6.7,102,9
Aa Bhi Ja O Piya,2021,,140,
Welcome on Board,2020,7.9,78,9
The Killer,(IV,,90,
LuvUTurn,2019,6.2,124,8
Daawat-e-Biryani,2019,7.1,89,22
Scholarship,,,,
Premaatur,2021,,109,
Phulmania,2019,5.4,120,16
Gunwali Dulhaniya,2019,3.5,114,20
Taanashah,2020,7.3,101,25
Moh,,,,
Fukrey Boyzzz: Space Mein Fukrapanti,2020,8.3,74,6
Mumbaiyya: The Daring Mumbaikar!,2020,,124,
Black Coffee,2021,,,
No Man's Truth,2020,6.3,123,30
The Closed Door,2021,,50,
Aakhet,,,,
Breed,2020,9.6,,48
Dainik,,,,
Lets Fly with My Paper Rocket,,,,
Ek Nashebaaz,2021,,,
Ishq Tera,2018,5.5,122,12
Dabba Gul,,,,
Kehta Hai Yeh Dil,2020,3.3,116,10
Mera Ramrajya Nai Kranti,2020,8.8,162,16
Chhatrapati Shivaji,,,,
Veergati,2019,6,61,21
Love in A Taxi,2020,,,
Mughalsarai Junction,2020,,,
Love in College,2019,,142,
Rescue,2019,4.5,80,18
Brainwashed,2019,,,
Issaq Tera,,,,
Bhoot Bhaijaan,2018,,105,
Ok Mein Dhokhe,2018,,,
Badmaash Bubbly,2019,,67,
Billa Ranga Baashaa,,,,
Ae Kaash Ke Hum,2021,,,
Miracle,2019,,,
Sridevi Bungalow,,,,
Haaye Dil,,,,
Umakant Pandey Purush Ya,2019,7,120,49
Ghost Story - An Abstract Film,2020,8.4,,8
