Name,Year,Rating,Runtime,Votes
PM Narendra Modi,2019,3.1,136,5954
Husband Material,2018,6.9,156,7441
Darbaan,2020,7.5,145,727
Gangubai Kathiawadi,2021,,,
Jhund,2021,,,
Salaar,2022,,,
Bhoot police,2021,,,
Kalank,2019,3.6,166,11870
Shimla Mirchi,2020,4.6,129,1321
Udham Singh,2021,8.2,,29
De De Pyaar De,2019,6.6,135,7325
Parmanu: The Story of Pokhran,2018,7.6,129,21771
D Company,2021,4.4,91,216
Panga,2020,6.8,131,5455
Antim: The Final Truth,2021,,,
The Power,2021,5.7,153,1543
Shubh Mangal Zyada Saavdhan,2020,5.8,117,8208
Veere Di Wedding,2018,3.2,135,11999
All Ladies Do It,2020,7.9,97,384
Why Cheat India,2019,6,121,2442
Rashmi Rocket,2021,,,
Lovefucked,2018,6,106,363
Soorma,2018,7.4,131,4648
Chopsticks,2019,6.5,100,4293
The Zoya Factor,2019,4.2,134,2119
Gulabo Sitabo,2020,6.3,124,11363
The Elder One,2019,7.5,125,1707
Secrets of Sinauli,2021,9.3,56,1372
Commando 3,2019,5.7,133,2425
Darbar,2020,6.1,159,5169
Pataakha,2018,7.2,134,3824
Prassthanam,2019,5.9,141,1265
Jersey,2021,,,
Love Per Square Foot,2018,7.2,133,7587
Cargo,2019,5.7,119,2588
Heropanti 2,2021,,,
Rambo,,,,
Batti Gul Meter Chalu,2018,6,161,4685
Bhuj: The Pride of India,2021,,,
Eeb Allay Ooo!,2019,7.4,98,1245
Har Kisse Ke Hisse: Kaamyaab,2018,7.9,109,3781
Raat Baaki Hai,2021,5.2,100,332
Dolly Kitty and Those Twinkling Stars,2019,5.4,126,4754
Halahal,2020,7.1,97,1441
Pareeksha,2020,8.1,120,2919
Bunty Aur Babli 2,2021,,,
Tuesdays and Fridays,2021,4.5,106,573
London Confidental,2020,6.4,77,1653
Fighter,2022,,,
Judgementall Hai Kya,2019,5.9,121,5419
Kaala,2018,6.7,162,8159
Flight,2021,8.3,116,359
Pati Patni Aur Woh,2019,5.7,126,6164
Eiga Doraemon: Nobita no getsumen tansaki,2019,6.8,111,556
1921,2018,4.5,144,1068
Guilty,2020,5.4,119,3918
Namaste England,2018,2.2,141,2645
Arjun Patiala,2019,4.3,107,1204
Total Dhamaal,2019,4.2,130,5647
Hate Story IV,2018,3.3,131,1469
Dangerous,2021,,,
Naam,2021,,,
Vishwaroopam 2,2018,5.9,145,2312
Axone,2019,7,104,1979
Tadap,2021,,,
Ramyug,,,37,
Dhaakad,2021,,,
Once Again,2018,7,101,869
Soni,2018,7.2,97,2528
Animal,2022,,,
